
Name                                                                   AppID                                                                                                               
????????? ???????                                                      Microsoft.AutoGenerated.{E9C334D4-CC95-3C15-36E0-30F3DCB7FEE3}                                                      
Conflict detector                                                      Microsoft.AutoGenerated.{F29F46BA-1D73-D21E-9C76-34BAE267E27F}                                                      
BSA creator                                                            Microsoft.AutoGenerated.{FB8B2920-F775-2907-638E-62FBFE847AB8}                                                      
Internet Explorer                                                      Microsoft.InternetExplorer.Default                                                                                  
Outlook 2013                                                           Microsoft.Office.OUTLOOK.EXE.15                                                                                     
Visual Studio Installer                                                Microsoft.VisualStudio.Installer                                                                                    
Visual Studio Code                                                     Microsoft.VisualStudioCode                                                                                          
???????? ????????????????? Windows                                     Microsoft.Windows.AdministrativeTools                                                                               
???? ?????????                                                         Microsoft.Windows.Computer                                                                                          
?????? ??????????                                                      Microsoft.Windows.ControlPanel                                                                                      
?????????                                                              Microsoft.Windows.Explorer                                                                                          
Windows Media Player                                                   Microsoft.Windows.MediaPlayer32                                                                                     
??????????? ? ?????????? ???????? ?????                                Microsoft.Windows.RemoteDesktop                                                                                     
?????????                                                              Microsoft.Windows.Shell.RunDialog                                                                                   
Microsoft Edge                                                         MSEdge                                                                                                              
??????? Opera GX                                                       OperaSoftware.OperaGXWebBrowser.1723762891                                                                          
??????? Opera                                                          OperaSoftware.OperaWebBrowser.1724535557                                                                            
Grand Theft Auto IV The Complete Edition                               steam://rungameid/12210                                                                                             
Tiny Bunny                                                             steam://rungameid/1421250                                                                                           
??????? ??????? ??????? - ?????????                                    steam://rungameid/1475230                                                                                           
Cry of Fear                                                            steam://rungameid/223710                                                                                            
Dying Light                                                            steam://rungameid/239140                                                                                            
The Forest                                                             steam://rungameid/242760                                                                                            
Jujutsu Kaisen Cursed Clash DEMO                                       steam://rungameid/2707170                                                                                           
Misha's incident                                                       steam://rungameid/2723520                                                                                           
Buckshot Roulette                                                      steam://rungameid/2835570                                                                                           
Katawa Shoujo                                                          steam://rungameid/3068300                                                                                           
Everlasting Summer                                                     steam://rungameid/331470                                                                                            
Batman Arkham Asylum GOTY Edition                                      steam://rungameid/35140                                                                                             
Wallpaper Engine                                                       steam://rungameid/431960                                                                                            
Soundpad Demo                                                          steam://rungameid/632810                                                                                            
Super Bunny Man                                                        steam://rungameid/673750                                                                                            
Counter-Strike 2                                                       steam://rungameid/730                                                                                               
Telegram                                                               Telegram.TelegramDesktop                                                                                            
Ubisoft Connect                                                        Ubisoft.UPC.MainProcess                                                                                             
uTorrent                                                               uTorrentPro                                                                                                         
Yandex                                                                 Yandex.DHTULKX6MTKU4DJ5R6UN4TOG5U                                                                                   
??????.????                                                            Yandex.Disk.Uploader                                                                                                
???????? ????????? Office 2013                                         yh1BV6!!!!!!!!!MKKSkSetLanguageFiles<                                                                               
????? ???????? Office 2013                                             yh1BV6!!!!!!!!!MKKSkWxpFiles<                                                                                       
Zoom Workplace                                                         zoom.us.Zoom Video Meetings                                                                                         
??????? ????????                                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\charmap.exe                                                                  
??????? ?????                                                          {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cleanmgr.exe                                                                 
????????? ??????                                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe                                                                      
?????? ???????????                                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\comexp.msc                                                                   
??????????? ??????                                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\dfrgui.exe                                                                   
????????? iSCSI                                                        {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\iscsicpl.exe                                                                 
???????? ????                                                          {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe                                                                  
???????? ???????? ?????? Windows                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe                                                                  
???????????? ???????                                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe                                                                 
???????? ? ???????                                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe                                                                 
Paint                                                                  {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\mspaint.exe                                                                  
???????? ??????                                                        {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe                                                                 
